DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Indian Bay Ecosystem Corporation,BB1,Big Bear Landing,49.10995,-53.98991,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:30:00,,,,,,Specific conductance,,,19.7,uS/cm,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,BB1,Big Bear Landing,49.10995,-53.98991,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:30:00,,,,,,"Temperature, water",,,11.4,deg C,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,DB1,Dirt Brook,49.06451,-53.92696,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:45:00,,,,,,Dissolved oxygen (DO),,,11,mg/l,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,DB1,Dirt Brook,49.06451,-53.92696,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:45:00,,,,,,Dissolved oxygen saturation,,,109,%,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,DB1,Dirt Brook,49.06451,-53.92696,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:45:00,,,,,,pH,,,5.45,None,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,DB1,Dirt Brook,49.06451,-53.92696,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:45:00,,,,,,Salinity,,,0.01,ppt,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,DB1,Dirt Brook,49.06451,-53.92696,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:45:00,,,,,,Specific conductance,,,21.3,uS/cm,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,DB1,Dirt Brook,49.06451,-53.92696,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:45:00,,,,,,"Temperature, water",,,14.9,deg C,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,13:11:00,,,,,,Dissolved oxygen (DO),,,10.8,mg/l,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,13:11:00,,,,,,Dissolved oxygen saturation,,,106,%,,,,,,,,,,,,,,,
